inventory_id:int,film_id:int,store_id:int,last_update
29,6,2,2006-02-15 10:09:17
30,6,2,2006-02-15 10:09:17
31,6,2,2006-02-15 10:09:17
32,7,1,2006-02-15 10:09:17
33,7,1,2006-02-15 10:09:17
34,7,2,2006-02-15 10:09:17
35,7,2,2006-02-15 10:09:17
36,7,2,2006-02-15 10:09:17
37,8,2,2006-02-15 10:09:17
38,8,2,2006-02-15 10:09:17
39,8,2,2006-02-15 10:09:17
40,8,2,2006-02-15 10:09:17
76,15,2,2006-02-15 10:09:17
77,16,1,2006-02-15 10:09:17
78,16,1,2006-02-15 10:09:17
79,16,2,2006-02-15 10:09:17
80,16,2,2006-02-15 10:09:17
81,17,1,2006-02-15 10:09:17
82,17,1,2006-02-15 10:09:17
83,17,1,2006-02-15 10:09:17
84,17,2,2006-02-15 10:09:17
85,17,2,2006-02-15 10:09:17
86,17,2,2006-02-15 10:09:17
87,18,1,2006-02-15 10:09:17
88,18,1,2006-02-15 10:09:17
89,18,1,2006-02-15 10:09:17
90,18,2,2006-02-15 10:09:17
91,18,2,2006-02-15 10:09:17
92,18,2,2006-02-15 10:09:17
93,19,1,2006-02-15 10:09:17
94,19,1,2006-02-15 10:09:17
95,19,1,2006-02-15 10:09:17
96,19,1,2006-02-15 10:09:17
97,19,2,2006-02-15 10:09:17
98,19,2,2006-02-15 10:09:17
99,20,1,2006-02-15 10:09:17
100,20,1,2006-02-15 10:09:17